fecha,item_id,nombre_item,categoria,unidad_medida,ocupacion_familias,stock_inicio,ingreso_stock,consumo_real,stock_fin,consumo_estimado_7d,consumo_estimado_14d,dias_cobertura,stock_critico_7d,stock_critico_14d
2025-01-31,ITM001,Arroz,alimentos,kg,49,175.4,0.0,20.2,155.2,100.0,200.0,10.86,0.0,0.0
2025-02-01,ITM001,Arroz,alimentos,kg,46,155.2,0.0,10.5,144.7,95.3,190.6,10.63,0.0,0.0
2025-02-02,ITM001,Arroz,alimentos,kg,44,144.7,0.0,15.1,129.6,96.8,193.6,9.37,0.0,0.0
2025-02-03,ITM001,Arroz,alimentos,kg,46,129.6,0.0,11.6,118.0,91.7,183.4,9.01,0.0,0.0
2025-02-04,ITM001,Arroz,alimentos,kg,46,118.0,0.0,13.9,104.1,94.1,188.2,7.74,0.0,0.0
2025-02-05,ITM001,Arroz,alimentos,kg,46,104.1,0.0,11.1,93.0,93.9,187.8,6.93,0.0,0.0
2025-02-06,ITM001,Arroz,alimentos,kg,47,93.0,0.0,15.7,77.3,98.1,196.2,5.52,0.0,0.0
2025-02-07,ITM001,Arroz,alimentos,kg,44,187.7,110.4,13.7,174.0,91.6,183.2,13.3,0.0,0.0
2025-02-08,ITM001,Arroz,alimentos,kg,47,174.0,0.0,16.2,157.8,97.3,194.6,11.35,0.0,0.0
2025-02-09,ITM001,Arroz,alimentos,kg,45,157.8,0.0,11.1,146.7,93.3,186.6,11.01,0.0,0.0
2025-02-10,ITM001,Arroz,alimentos,kg,45,146.7,0.0,10.5,136.2,92.2,184.4,10.34,0.0,0.0
2025-02-11,ITM001,Arroz,alimentos,kg,44,136.2,0.0,10.1,126.1,88.4,176.8,9.99,0.0,0.0
2025-02-12,ITM001,Arroz,alimentos,kg,45,126.1,0.0,12.7,113.4,90.0,180.0,8.82,0.0,0.0
2025-02-13,ITM001,Arroz,alimentos,kg,44,113.4,0.0,11.3,102.1,85.6,171.2,8.35,0.0,0.0
2025-02-14,ITM001,Arroz,alimentos,kg,44,102.1,0.0,16.5,85.6,88.4,176.8,6.78,0.0,0.0
2025-02-15,ITM001,Arroz,alimentos,kg,44,189.4,103.8,13.7,175.7,85.9,171.8,14.32,0.0,0.0
2025-02-16,ITM001,Arroz,alimentos,kg,43,175.7,0.0,15.8,159.9,90.6,181.2,12.35,0.0,0.0
2025-02-17,ITM001,Arroz,alimentos,kg,46,159.9,0.0,12.0,147.9,92.1,184.2,11.24,0.0,0.0
2025-02-18,ITM001,Arroz,alimentos,kg,45,147.9,0.0,12.7,135.2,94.7,189.4,9.99,0.0,1.0
2025-02-19,ITM001,Arroz,alimentos,kg,48,135.2,0.0,11.2,124.0,93.2,186.4,9.31,0.0,1.0
2025-02-20,ITM001,Arroz,alimentos,kg,48,124.0,0.0,12.7,111.3,94.6,189.2,8.24,0.0,1.0
2025-02-21,ITM001,Arroz,alimentos,kg,45,111.3,0.0,11.1,100.2,89.2,178.4,7.86,0.0,1.0
2025-02-22,ITM001,Arroz,alimentos,kg,47,100.2,0.0,11.7,88.5,87.2,174.4,7.1,0.0,1.0
2025-02-23,ITM001,Arroz,alimentos,kg,49,193.3,104.8,12.5,180.8,83.9,167.8,15.08,0.0,1.0
2025-02-24,ITM001,Arroz,alimentos,kg,48,180.8,0.0,11.9,168.9,83.8,167.6,14.11,0.0,1.0
2025-02-25,ITM001,Arroz,alimentos,kg,50,168.9,0.0,10.1,158.8,81.2,162.4,13.69,1.0,1.0
2025-02-26,ITM001,Arroz,alimentos,kg,50,158.8,0.0,12.8,146.0,82.8,165.6,12.34,1.0,1.0
2025-02-27,ITM001,Arroz,alimentos,kg,51,146.0,0.0,13.2,132.8,83.3,166.6,11.16,1.0,1.0
2025-02-28,ITM001,Arroz,alimentos,kg,51,132.8,0.0,14.6,118.2,86.8,173.6,9.53,1.0,1.0
2025-03-01,ITM001,Arroz,alimentos,kg,49,118.2,0.0,14.0,104.2,89.1,178.2,8.19,1.0,1.0
2025-03-02,ITM001,Arroz,alimentos,kg,49,104.2,0.0,11.4,92.8,88.0,176.0,7.38,1.0,1.0
2025-03-03,ITM001,Arroz,alimentos,kg,49,92.8,0.0,11.2,81.6,87.3,174.6,6.54,1.0,1.0
2025-03-04,ITM001,Arroz,alimentos,kg,49,81.6,0.0,10.7,70.9,87.9,175.8,5.65,0.0,0.0
2025-03-05,ITM001,Arroz,alimentos,kg,47,192.7,121.8,13.0,179.7,88.1,176.2,14.28,0.0,0.0
2025-03-06,ITM001,Arroz,alimentos,kg,48,179.7,0.0,12.8,166.9,87.7,175.4,13.32,0.0,0.0
2025-03-07,ITM001,Arroz,alimentos,kg,48,166.9,0.0,12.6,154.3,85.7,171.4,12.6,0.0,0.0
2025-03-08,ITM001,Arroz,alimentos,kg,49,154.3,0.0,14.0,140.3,85.7,171.4,11.46,0.0,0.0
2025-03-09,ITM001,Arroz,alimentos,kg,47,140.3,0.0,16.0,124.3,90.3,180.6,9.64,0.0,0.0
2025-03-10,ITM001,Arroz,alimentos,kg,49,124.3,0.0,11.5,112.8,90.6,181.2,8.72,0.0,0.0
2025-03-11,ITM001,Arroz,alimentos,kg,50,112.8,0.0,12.9,99.9,92.8,185.6,7.54,0.0,0.0
2025-03-12,ITM001,Arroz,alimentos,kg,48,99.9,0.0,12.2,87.7,92.0,184.0,6.67,0.0,0.0
2025-03-13,ITM001,Arroz,alimentos,kg,48,87.7,0.0,12.0,75.7,91.2,182.4,5.81,0.0,0.0
2025-03-14,ITM001,Arroz,alimentos,kg,49,191.4,115.7,15.6,175.8,94.2,188.4,13.06,0.0,0.0
2025-03-15,ITM001,Arroz,alimentos,kg,48,175.8,0.0,12.7,163.1,92.9,185.8,12.29,0.0,0.0
2025-03-16,ITM001,Arroz,alimentos,kg,50,163.1,0.0,11.6,151.5,88.5,177.0,11.98,0.0,0.0
2025-03-17,ITM001,Arroz,alimentos,kg,50,151.5,0.0,16.2,135.3,93.2,186.4,10.16,0.0,0.0
2025-03-18,ITM001,Arroz,alimentos,kg,48,135.3,0.0,13.5,121.8,93.8,187.6,9.09,0.0,0.0
2025-03-19,ITM001,Arroz,alimentos,kg,49,121.8,0.0,11.9,109.9,93.5,187.0,8.23,0.0,0.0
2025-03-20,ITM001,Arroz,alimentos,kg,50,109.9,0.0,14.6,95.3,96.1,192.2,6.94,0.0,0.0
2025-03-21,ITM001,Arroz,alimentos,kg,50,95.3,0.0,13.4,81.9,93.9,187.8,6.11,0.0,0.0
2025-03-22,ITM001,Arroz,alimentos,kg,48,186.6,104.7,20.1,166.5,101.3,202.6,11.51,0.0,0.0
2025-03-23,ITM001,Arroz,alimentos,kg,49,166.5,0.0,11.4,155.1,101.1,202.2,10.74,0.0,0.0
2025-03-24,ITM001,Arroz,alimentos,kg,49,155.1,0.0,18.2,136.9,103.1,206.2,9.29,0.0,0.0
2025-03-25,ITM001,Arroz,alimentos,kg,52,136.9,0.0,13.7,123.2,103.3,206.6,8.35,0.0,0.0
2025-03-26,ITM001,Arroz,alimentos,kg,51,123.2,0.0,14.0,109.2,105.4,210.8,7.25,0.0,0.0
2025-03-27,ITM001,Arroz,alimentos,kg,53,109.2,0.0,13.0,96.2,103.8,207.6,6.49,0.0,0.0
2025-03-28,ITM001,Arroz,alimentos,kg,53,96.2,0.0,12.9,83.3,103.3,206.6,5.64,0.0,0.0
2025-03-29,ITM001,Arroz,alimentos,kg,52,186.4,103.1,15.4,171.0,98.6,197.2,12.14,0.0,0.0
2025-03-30,ITM001,Arroz,alimentos,kg,51,171.0,0.0,14.1,156.9,101.3,202.6,10.84,0.0,0.0
2025-03-31,ITM001,Arroz,alimentos,kg,51,156.9,0.0,11.8,145.1,94.9,189.8,10.7,0.0,1.0
2025-04-01,ITM001,Arroz,alimentos,kg,51,145.1,0.0,11.4,133.7,92.6,185.2,10.11,0.0,1.0
2025-04-02,ITM001,Arroz,alimentos,kg,51,133.7,0.0,9.7,124.0,88.3,176.6,9.83,0.0,1.0
2025-04-03,ITM001,Arroz,alimentos,kg,51,124.0,0.0,11.9,112.1,87.2,174.4,9.0,0.0,1.0
2025-04-04,ITM001,Arroz,alimentos,kg,53,112.1,0.0,13.2,98.9,87.5,175.0,7.91,0.0,1.0
2025-04-05,ITM001,Arroz,alimentos,kg,55,98.9,0.0,10.0,88.9,82.1,164.2,7.58,0.0,1.0
2025-04-06,ITM001,Arroz,alimentos,kg,55,195.2,106.3,15.0,180.2,83.0,166.0,15.2,0.0,1.0
2025-04-07,ITM001,Arroz,alimentos,kg,54,180.2,0.0,10.2,170.0,81.4,162.8,14.62,1.0,1.0
2025-04-08,ITM001,Arroz,alimentos,kg,55,170.0,0.0,14.6,155.4,84.6,169.2,12.86,1.0,1.0
2025-04-09,ITM001,Arroz,alimentos,kg,56,155.4,0.0,13.3,142.1,88.2,176.4,11.28,1.0,1.0
2025-04-10,ITM001,Arroz,alimentos,kg,58,142.1,0.0,16.7,125.4,93.0,186.0,9.44,1.0,1.0
2025-04-11,ITM001,Arroz,alimentos,kg,58,125.4,0.0,16.6,108.8,96.4,192.8,7.9,1.0,1.0
2025-04-12,ITM001,Arroz,alimentos,kg,57,108.8,0.0,13.7,95.1,100.1,200.2,6.65,1.0,1.0
2025-04-13,ITM001,Arroz,alimentos,kg,58,95.1,0.0,12.2,82.9,97.3,194.6,5.96,1.0,1.0
2025-04-14,ITM001,Arroz,alimentos,kg,57,82.9,0.0,17.0,65.9,104.1,208.2,4.43,0.0,0.0
2025-04-15,ITM001,Arroz,alimentos,kg,58,180.5,114.6,14.3,166.2,103.8,207.6,11.21,0.0,0.0
2025-04-16,ITM001,Arroz,alimentos,kg,56,166.2,0.0,11.8,154.4,102.3,204.6,10.57,0.0,0.0
2025-04-17,ITM001,Arroz,alimentos,kg,56,154.4,0.0,15.8,138.6,101.4,202.8,9.57,0.0,0.0
2025-04-18,ITM001,Arroz,alimentos,kg,55,138.6,0.0,11.1,127.5,95.9,191.8,9.31,0.0,0.0
2025-04-19,ITM001,Arroz,alimentos,kg,55,127.5,0.0,13.4,114.1,95.6,191.2,8.35,0.0,0.0
2025-04-20,ITM001,Arroz,alimentos,kg,52,114.1,0.0,12.6,101.5,96.0,192.0,7.4,0.0,0.0
2025-04-21,ITM001,Arroz,alimentos,kg,52,101.5,0.0,13.0,88.5,92.0,184.0,6.73,0.0,0.0
2025-04-22,ITM001,Arroz,alimentos,kg,53,189.9,101.4,13.6,176.3,91.3,182.6,13.52,0.0,0.0
2025-04-23,ITM001,Arroz,alimentos,kg,52,176.3,0.0,17.1,159.2,96.6,193.2,11.54,0.0,0.0
2025-04-24,ITM001,Arroz,alimentos,kg,53,159.2,0.0,14.3,144.9,95.1,190.2,10.67,0.0,0.0
2025-04-25,ITM001,Arroz,alimentos,kg,55,144.9,0.0,13.4,131.5,97.4,194.8,9.45,0.0,0.0
2025-04-26,ITM001,Arroz,alimentos,kg,55,131.5,0.0,12.4,119.1,96.4,192.8,8.65,0.0,0.0
2025-04-27,ITM001,Arroz,alimentos,kg,55,119.1,0.0,18.1,101.0,101.9,203.8,6.94,0.0,0.0
2025-04-28,ITM001,Arroz,alimentos,kg,56,101.0,0.0,11.5,89.5,100.4,200.8,6.24,0.0,0.0
2025-04-29,ITM001,Arroz,alimentos,kg,55,89.5,0.0,13.2,76.3,100.0,200.0,5.34,0.0,0.0
2025-04-30,ITM001,Arroz,alimentos,kg,54,184.8,108.5,11.2,173.6,94.1,188.2,12.91,0.0,1.0
2025-05-01,ITM001,Arroz,alimentos,kg,52,173.6,0.0,15.1,158.5,94.9,189.8,11.69,0.0,1.0
2025-05-02,ITM001,Arroz,alimentos,kg,53,158.5,0.0,14.9,143.6,96.4,192.8,10.43,0.0,1.0
2025-05-03,ITM001,Arroz,alimentos,kg,51,143.6,0.0,13.1,130.5,97.1,194.2,9.41,0.0,1.0
2025-05-04,ITM001,Arroz,alimentos,kg,52,130.5,0.0,16.8,113.7,95.8,191.6,8.31,0.0,1.0
2025-05-05,ITM001,Arroz,alimentos,kg,47,113.7,0.0,10.7,103.0,95.0,190.0,7.59,0.0,1.0
2025-05-06,ITM001,Arroz,alimentos,kg,48,103.0,0.0,9.9,93.1,91.7,183.4,7.11,0.0,1.0
2025-05-07,ITM001,Arroz,alimentos,kg,52,189.5,96.4,12.3,177.2,92.8,185.6,13.37,1.0,1.0
2025-05-08,ITM001,Arroz,alimentos,kg,54,177.2,0.0,14.4,162.8,92.1,184.2,12.37,1.0,1.0
2025-05-09,ITM001,Arroz,alimentos,kg,55,162.8,0.0,14.4,148.4,91.6,183.2,11.34,1.0,1.0
2025-05-10,ITM001,Arroz,alimentos,kg,55,148.4,0.0,16.1,132.3,94.6,189.2,9.79,1.0,1.0
2025-05-11,ITM001,Arroz,alimentos,kg,55,132.3,0.0,13.6,118.7,91.4,182.8,9.09,1.0,1.0
2025-05-12,ITM001,Arroz,alimentos,kg,54,118.7,0.0,17.3,101.4,98.0,196.0,7.24,1.0,1.0
2025-05-13,ITM001,Arroz,alimentos,kg,53,101.4,0.0,12.7,88.7,100.8,201.6,6.16,1.0,1.0
2025-05-14,ITM001,Arroz,alimentos,kg,53,88.7,0.0,14.0,74.7,102.5,205.0,5.1,0.0,0.0
2025-05-15,ITM001,Arroz,alimentos,kg,54,182.4,107.7,13.6,168.8,101.7,203.4,11.62,0.0,0.0
2025-05-16,ITM001,Arroz,alimentos,kg,51,168.8,0.0,12.5,156.3,99.8,199.6,10.96,0.0,0.0
2025-05-17,ITM001,Arroz,alimentos,kg,50,156.3,0.0,12.4,143.9,96.1,192.2,10.48,0.0,0.0
2025-05-18,ITM001,Arroz,alimentos,kg,49,143.9,0.0,13.8,130.1,96.3,192.6,9.46,0.0,0.0
2025-05-19,ITM001,Arroz,alimentos,kg,51,130.1,0.0,7.6,122.5,86.6,173.2,9.9,0.0,0.0
2025-05-20,ITM001,Arroz,alimentos,kg,51,122.5,0.0,12.7,109.8,86.6,173.2,8.88,0.0,0.0
2025-05-21,ITM001,Arroz,alimentos,kg,52,109.8,0.0,13.3,96.5,85.9,171.8,7.86,0.0,0.0
2025-05-22,ITM001,Arroz,alimentos,kg,50,192.6,96.1,11.9,180.7,84.2,168.4,15.02,0.0,0.0
2025-05-23,ITM001,Arroz,alimentos,kg,49,180.7,0.0,12.4,168.3,84.1,168.2,14.01,0.0,0.0
2025-05-24,ITM001,Arroz,alimentos,kg,48,168.3,0.0,12.9,155.4,84.6,169.2,12.86,0.0,0.0
2025-05-25,ITM001,Arroz,alimentos,kg,51,155.4,0.0,14.7,140.7,85.5,171.0,11.52,0.0,1.0
2025-05-26,ITM001,Arroz,alimentos,kg,53,140.7,0.0,10.1,130.6,88.0,176.0,10.39,0.0,1.0
2025-05-27,ITM001,Arroz,alimentos,kg,50,130.6,0.0,13.2,117.4,88.5,177.0,9.29,0.0,1.0
2025-05-28,ITM001,Arroz,alimentos,kg,48,117.4,0.0,12.4,105.0,87.6,175.2,8.39,0.0,1.0
2025-05-29,ITM001,Arroz,alimentos,kg,49,105.0,0.0,12.9,92.1,88.6,177.2,7.28,0.0,1.0
2025-05-30,ITM001,Arroz,alimentos,kg,46,92.1,0.0,12.4,79.7,88.6,177.2,6.3,0.0,1.0
2025-05-31,ITM001,Arroz,alimentos,kg,46,189.1,109.4,12.5,176.6,88.2,176.4,14.02,0.0,1.0
2025-06-01,ITM001,Arroz,alimentos,kg,48,176.6,0.0,12.6,164.0,86.1,172.2,13.33,1.0,1.0
2025-06-02,ITM001,Arroz,alimentos,kg,47,164.0,0.0,13.2,150.8,89.2,178.4,11.83,1.0,1.0
2025-06-03,ITM001,Arroz,alimentos,kg,47,150.8,0.0,11.4,139.4,87.4,174.8,11.16,1.0,1.0
2025-06-04,ITM001,Arroz,alimentos,kg,49,139.4,0.0,9.7,129.7,84.7,169.4,10.72,1.0,1.0
2025-06-05,ITM001,Arroz,alimentos,kg,48,129.7,0.0,13.0,116.7,84.8,169.6,9.63,1.0,1.0
2025-06-06,ITM001,Arroz,alimentos,kg,50,116.7,0.0,17.3,99.4,89.7,179.4,7.76,1.0,1.0
2025-06-07,ITM001,Arroz,alimentos,kg,50,99.4,0.0,16.1,83.3,93.3,186.6,6.25,1.0,1.0
2025-06-08,ITM001,Arroz,alimentos,kg,50,83.3,0.0,13.7,69.6,94.4,188.8,5.16,1.0,1.0
2025-06-09,ITM001,Arroz,alimentos,kg,51,69.6,0.0,13.7,55.9,94.9,189.8,4.12,0.0,0.0
2025-06-10,ITM001,Arroz,alimentos,kg,51,179.2,123.3,12.6,166.6,96.1,192.2,12.14,0.0,0.0
2025-06-11,ITM001,Arroz,alimentos,kg,50,166.6,0.0,13.3,153.3,99.7,199.4,10.76,0.0,1.0
2025-06-12,ITM001,Arroz,alimentos,kg,48,153.3,0.0,13.3,140.0,100.0,200.0,9.8,0.0,1.0
2025-06-13,ITM001,Arroz,alimentos,kg,51,140.0,0.0,13.0,127.0,95.7,191.4,9.29,0.0,1.0
2025-06-14,ITM001,Arroz,alimentos,kg,52,127.0,0.0,13.0,114.0,92.6,185.2,8.62,0.0,1.0
2025-06-15,ITM001,Arroz,alimentos,kg,51,114.0,0.0,13.4,100.6,92.3,184.6,7.63,0.0,1.0
2025-06-16,ITM001,Arroz,alimentos,kg,49,100.6,0.0,11.4,89.2,90.0,180.0,6.94,0.0,1.0
2025-06-17,ITM001,Arroz,alimentos,kg,47,189.2,100.0,11.1,178.1,88.5,177.0,14.09,0.0,1.0
2025-06-18,ITM001,Arroz,alimentos,kg,49,178.1,0.0,12.6,165.5,87.8,175.6,13.19,1.0,1.0
2025-06-19,ITM001,Arroz,alimentos,kg,47,165.5,0.0,11.5,154.0,86.0,172.0,12.53,1.0,1.0
2025-06-20,ITM001,Arroz,alimentos,kg,48,154.0,0.0,16.7,137.3,89.7,179.4,10.71,1.0,1.0
2025-06-21,ITM001,Arroz,alimentos,kg,48,137.3,0.0,14.7,122.6,91.4,182.8,9.39,1.0,1.0
2025-06-22,ITM001,Arroz,alimentos,kg,47,122.6,0.0,12.1,110.5,90.1,180.2,8.58,1.0,1.0
2025-06-23,ITM001,Arroz,alimentos,kg,48,110.5,0.0,12.1,98.4,90.8,181.6,7.59,1.0,1.0
2025-06-24,ITM001,Arroz,alimentos,kg,46,98.4,0.0,13.2,85.2,92.9,185.8,6.42,1.0,1.0
2025-06-25,ITM001,Arroz,alimentos,kg,45,85.2,0.0,15.9,69.3,96.2,192.4,5.04,0.0,0.0
2025-06-26,ITM001,Arroz,alimentos,kg,47,186.7,117.4,12.0,174.7,96.7,193.4,12.65,0.0,0.0
2025-06-27,ITM001,Arroz,alimentos,kg,47,174.7,0.0,12.4,162.3,92.4,184.8,12.3,0.0,0.0
2025-06-28,ITM001,Arroz,alimentos,kg,48,162.3,0.0,12.9,149.4,90.6,181.2,11.54,0.0,0.0
2025-06-29,ITM001,Arroz,alimentos,kg,45,149.4,0.0,16.6,132.8,95.1,190.2,9.77,0.0,0.0
2025-06-30,ITM001,Arroz,alimentos,kg,46,132.8,0.0,12.0,120.8,95.0,190.0,8.9,0.0,0.0
2025-07-01,ITM001,Arroz,alimentos,kg,43,120.8,0.0,12.8,108.0,94.6,189.2,7.99,0.0,0.0
2025-07-02,ITM001,Arroz,alimentos,kg,45,108.0,0.0,10.6,97.4,89.3,178.6,7.63,0.0,0.0
2025-07-03,ITM001,Arroz,alimentos,kg,46,97.4,0.0,13.5,83.9,90.8,181.6,6.47,0.0,0.0
2025-07-04,ITM001,Arroz,alimentos,kg,44,191.1,107.2,14.7,176.4,93.1,186.2,13.26,0.0,0.0
2025-07-05,ITM001,Arroz,alimentos,kg,47,176.4,0.0,13.0,163.4,93.2,186.4,12.27,0.0,0.0
2025-07-06,ITM001,Arroz,alimentos,kg,49,163.4,0.0,18.1,145.3,94.7,189.4,10.74,0.0,0.0
2025-07-07,ITM001,Arroz,alimentos,kg,49,145.3,0.0,11.2,134.1,93.9,187.8,10.0,0.0,0.0
2025-07-08,ITM001,Arroz,alimentos,kg,49,134.1,0.0,13.0,121.1,94.1,188.2,9.01,0.0,0.0
2025-07-09,ITM001,Arroz,alimentos,kg,49,121.1,0.0,17.8,103.3,101.3,202.6,7.14,0.0,0.0
2025-07-10,ITM001,Arroz,alimentos,kg,48,103.3,0.0,14.2,89.1,102.0,204.0,6.11,0.0,0.0
2025-07-11,ITM001,Arroz,alimentos,kg,46,89.1,0.0,11.0,78.1,98.3,196.6,5.56,0.0,0.0
2025-07-12,ITM001,Arroz,alimentos,kg,45,184.0,105.9,15.4,168.6,100.7,201.4,11.72,0.0,0.0
2025-07-13,ITM001,Arroz,alimentos,kg,44,168.6,0.0,13.5,155.1,96.1,192.2,11.3,0.0,0.0
2025-07-14,ITM001,Arroz,alimentos,kg,44,155.1,0.0,11.6,143.5,96.5,193.0,10.41,0.0,0.0
2025-07-15,ITM001,Arroz,alimentos,kg,44,143.5,0.0,12.8,130.7,96.3,192.6,9.5,0.0,0.0
2025-07-16,ITM001,Arroz,alimentos,kg,46,130.7,0.0,14.2,116.5,92.7,185.4,8.8,0.0,0.0
2025-07-17,ITM001,Arroz,alimentos,kg,47,116.5,0.0,15.0,101.5,93.5,187.0,7.6,0.0,0.0
2025-07-18,ITM001,Arroz,alimentos,kg,46,101.5,0.0,17.2,84.3,99.7,199.4,5.92,0.0,0.0
2025-07-19,ITM001,Arroz,alimentos,kg,47,180.8,96.5,14.3,166.5,98.6,197.2,11.82,0.0,0.0
2025-07-20,ITM001,Arroz,alimentos,kg,47,166.5,0.0,14.8,151.7,99.9,199.8,10.63,0.0,1.0
2025-07-21,ITM001,Arroz,alimentos,kg,46,151.7,0.0,12.7,139.0,101.0,202.0,9.63,0.0,1.0
2025-07-22,ITM001,Arroz,alimentos,kg,45,139.0,0.0,12.6,126.4,100.8,201.6,8.78,0.0,1.0
2025-07-23,ITM001,Arroz,alimentos,kg,43,126.4,0.0,10.5,115.9,97.1,194.2,8.36,0.0,1.0
2025-07-24,ITM001,Arroz,alimentos,kg,43,115.9,0.0,12.8,103.1,94.9,189.8,7.6,0.0,1.0
2025-07-25,ITM001,Arroz,alimentos,kg,44,103.1,0.0,10.2,92.9,87.9,175.8,7.4,0.0,1.0
2025-07-26,ITM001,Arroz,alimentos,kg,41,193.9,101.0,11.3,182.6,84.9,169.8,15.06,0.0,1.0
2025-07-27,ITM001,Arroz,alimentos,kg,41,182.6,0.0,11.1,171.5,81.2,162.4,14.78,1.0,1.0
2025-07-28,ITM001,Arroz,alimentos,kg,43,171.5,0.0,10.0,161.5,78.5,157.0,14.4,1.0,1.0
2025-07-29,ITM001,Arroz,alimentos,kg,45,161.5,0.0,16.3,145.2,82.2,164.4,12.36,1.0,1.0
2025-07-30,ITM001,Arroz,alimentos,kg,48,145.2,0.0,13.7,131.5,85.4,170.8,10.78,1.0,1.0
2025-07-31,ITM001,Arroz,alimentos,kg,48,131.5,0.0,12.9,118.6,85.5,171.0,9.71,1.0,1.0
2025-08-01,ITM001,Arroz,alimentos,kg,47,118.6,0.0,13.8,104.8,89.1,178.2,8.23,1.0,1.0
2025-08-02,ITM001,Arroz,alimentos,kg,47,104.8,0.0,18.7,86.1,96.5,193.0,6.25,1.0,1.0
2025-08-03,ITM001,Arroz,alimentos,kg,48,86.1,0.0,12.6,73.5,98.0,196.0,5.25,1.0,1.0
2025-08-04,ITM001,Arroz,alimentos,kg,47,73.5,0.0,16.5,57.0,104.5,209.0,3.82,0.0,1.0
2025-08-05,ITM001,Arroz,alimentos,kg,45,178.4,121.4,20.5,157.9,108.7,217.4,10.17,0.0,1.0
2025-08-06,ITM001,Arroz,alimentos,kg,42,157.9,0.0,9.5,148.4,104.5,209.0,9.94,0.0,1.0
