donacion_id,fecha,tipo_donante,item_id,nombre_item,categoria,unidad_medida,cantidad_donada,valor_estimado_soles,campania
DON00025,2025-08-26,ONG,ITM022,Termómetros digitales,insumos_medicos,unidad,65,904.9,Regular
DON00026,2025-05-04,Empresa,ITM020,Guantes descartables,insumos_medicos,par,169,550.97,Regular
DON00027,2025-10-31,Empresa,ITM020,Guantes descartables,insumos_medicos,par,35,152.81,Aniversario ALDIMI
DON00028,2025-04-22,Empresa,ITM016,Toallas húmedas,higiene,paquete,127,2119.52,Regular
DON00029,2026-07-04,Persona natural,ITM025,Vendas,insumos_medicos,unidad,13,64.21,Emergencia
DON00030,2025-02-16,Persona natural,ITM004,Menestras,alimentos,kg,39,584.37,Regular
DON00031,2026-06-26,Campaña digital,ITM001,Arroz,alimentos,kg,11,152.98,Navidad
DON00032,2026-06-13,Empresa,ITM015,Pañales,higiene,unidad,216,2392.4,Regular
DON00033,2025-06-10,ONG,ITM019,Mascarillas,insumos_medicos,unidad,95,1708.53,Regular
DON00034,2025-07-28,Iglesia/Comunidad,ITM004,Menestras,alimentos,kg,149,470.3,Regular
DON00035,2026-05-11,Iglesia/Comunidad,ITM011,Agua embotellada,alimentos,litro,57,838.81,Aniversario ALDIMI
DON00036,2026-06-28,Empresa,ITM008,Galletas nutritivas,alimentos,paquete,163,623.15,Emergencia
DON00037,2025-05-31,Campaña digital,ITM010,Frutas,alimentos,kg,65,701.77,Regular
DON00038,2025-03-25,Persona natural,ITM020,Guantes descartables,insumos_medicos,par,7,82.65,Regular
DON00039,2025-06-17,Persona natural,ITM025,Vendas,insumos_medicos,unidad,1,7.8,Día del Niño
DON00040,2026-03-12,Persona natural,ITM001,Arroz,alimentos,kg,31,60.6,Regular
DON00041,2026-04-05,Iglesia/Comunidad,ITM027,Jeringas descartables,insumos_medicos,unidad,41,465.43,Aniversario ALDIMI
DON00042,2026-06-23,Persona natural,ITM015,Pañales,higiene,unidad,19,214.95,Regular
DON00043,2025-09-19,Persona natural,ITM021,Gasas estériles,insumos_medicos,paquete,31,543.06,Regular
DON00044,2026-01-27,Persona natural,ITM010,Frutas,alimentos,kg,126,772.5,Regular
DON00045,2025-06-27,Empresa,ITM004,Menestras,alimentos,kg,122,938.24,Aniversario ALDIMI
DON00046,2026-05-07,Persona natural,ITM009,Suplemento nutricional,alimentos,unidad,122,503.93,Día del Niño
DON00047,2025-10-31,Campaña digital,ITM008,Galletas nutritivas,alimentos,paquete,16,155.82,Regular
DON00048,2025-08-17,ONG,ITM014,Jabón líquido,higiene,litro,82,525.4,Día del Niño
DON00049,2026-01-16,Empresa,ITM009,Suplemento nutricional,alimentos,unidad,65,1000.06,Regular
DON00050,2026-03-09,Empresa,ITM018,Alcohol en gel,higiene,unidad,83,1039.91,Navidad
DON00051,2025-09-30,Persona natural,ITM002,Avena,alimentos,kg,63,690.95,Regular
DON00052,2026-01-06,Iglesia/Comunidad,ITM012,Ensure pediátrico,alimentos,unidad,94,339.95,Regular
DON00053,2025-07-07,Iglesia/Comunidad,ITM017,Detergente,higiene,kg,141,1233.61,Regular
DON00054,2026-06-20,Empresa,ITM022,Termómetros digitales,insumos_medicos,unidad,56,939.36,Regular
DON00055,2025-07-11,Persona natural,ITM024,Antiséptico,insumos_medicos,litro,54,168.22,Regular
DON00056,2026-03-12,Empresa,ITM018,Alcohol en gel,higiene,unidad,162,506.53,Aniversario ALDIMI
DON00057,2026-04-29,Empresa,ITM017,Detergente,higiene,kg,55,951.58,Regular
DON00058,2026-02-22,Iglesia/Comunidad,ITM029,Suero oral,medicamentos_soporte,sobre,25,386.36,Regular
DON00059,2025-06-09,Empresa,ITM019,Mascarillas,insumos_medicos,unidad,211,1749.97,Regular
DON00060,2025-03-29,Iglesia/Comunidad,ITM024,Antiséptico,insumos_medicos,litro,37,257.73,Regular
DON00061,2025-03-01,Persona natural,ITM013,Papel higiénico,higiene,rollo,72,1014.46,Día del Niño
DON00062,2026-05-25,Empresa,ITM024,Antiséptico,insumos_medicos,litro,42,606.36,Regular
DON00063,2025-01-09,Empresa,ITM011,Agua embotellada,alimentos,litro,44,388.24,Regular
DON00064,2025-07-21,Persona natural,ITM014,Jabón líquido,higiene,litro,125,1072.76,Regular
DON00065,2025-07-13,Persona natural,ITM022,Termómetros digitales,insumos_medicos,unidad,26,84.08,Aniversario ALDIMI
DON00066,2025-10-29,Persona natural,ITM015,Pañales,higiene,unidad,47,779.88,Regular
DON00067,2025-03-19,Campaña digital,ITM019,Mascarillas,insumos_medicos,unidad,31,369.28,Navidad
DON00068,2026-04-12,Iglesia/Comunidad,ITM002,Avena,alimentos,kg,20,90.25,Regular
DON00069,2025-08-28,Iglesia/Comunidad,ITM010,Frutas,alimentos,kg,109,792.63,Regular
DON00070,2025-08-15,Iglesia/Comunidad,ITM024,Antiséptico,insumos_medicos,litro,100,1174.39,Regular
DON00071,2025-04-25,ONG,ITM012,Ensure pediátrico,alimentos,unidad,226,2029.88,Emergencia
DON00072,2026-01-08,Campaña digital,ITM021,Gasas estériles,insumos_medicos,paquete,72,936.61,Día del Niño
DON00073,2025-07-06,Campaña digital,ITM017,Detergente,higiene,kg,38,82.59,Regular
DON00074,2026-01-19,Iglesia/Comunidad,ITM011,Agua embotellada,alimentos,litro,48,469.87,Emergencia
DON00075,2025-12-24,Persona natural,ITM012,Ensure pediátrico,alimentos,unidad,22,346.39,Regular
DON00076,2026-06-10,Campaña digital,ITM001,Arroz,alimentos,kg,45,298.27,Regular
DON00077,2026-01-06,Iglesia/Comunidad,ITM019,Mascarillas,insumos_medicos,unidad,66,378.35,Regular
DON00078,2026-02-17,ONG,ITM004,Menestras,alimentos,kg,22,277.27,Aniversario ALDIMI
DON00079,2025-07-13,Persona natural,ITM011,Agua embotellada,alimentos,litro,40,198.07,Regular
DON00080,2026-04-06,Persona natural,ITM012,Ensure pediátrico,alimentos,unidad,101,1729.57,Regular
DON00081,2026-05-04,Persona natural,ITM010,Frutas,alimentos,kg,96,247.94,Regular
DON00082,2025-05-26,Persona natural,ITM020,Guantes descartables,insumos_medicos,par,1,10.62,Día del Niño
DON00083,2026-01-22,ONG,ITM011,Agua embotellada,alimentos,litro,76,198.37,Regular
DON00084,2026-02-21,Persona natural,ITM029,Suero oral,medicamentos_soporte,sobre,32,212.57,Emergencia
DON00085,2026-05-28,Campaña digital,ITM004,Menestras,alimentos,kg,82,1331.56,Navidad
DON00086,2026-04-29,Empresa,ITM017,Detergente,higiene,kg,268,2602.25,Regular
DON00087,2025-11-08,Persona natural,ITM008,Galletas nutritivas,alimentos,paquete,33,64.47,Emergencia
DON00088,2025-11-03,Persona natural,ITM012,Ensure pediátrico,alimentos,unidad,40,674.0,Día del Niño
DON00089,2025-08-25,Persona natural,ITM022,Termómetros digitales,insumos_medicos,unidad,34,337.1,Regular
DON00090,2025-02-07,Persona natural,ITM010,Frutas,alimentos,kg,63,1075.6,Regular
DON00091,2026-02-26,Persona natural,ITM015,Pañales,higiene,unidad,11,84.1,Regular
DON00092,2025-02-05,ONG,ITM020,Guantes descartables,insumos_medicos,par,37,142.95,Emergencia
DON00093,2026-04-13,Campaña digital,ITM019,Mascarillas,insumos_medicos,unidad,9,105.49,Regular
DON00094,2026-05-17,Empresa,ITM003,Leche evaporada,alimentos,lata,114,1343.57,Regular
DON00095,2025-12-23,Universidad,ITM029,Suero oral,medicamentos_soporte,sobre,37,593.35,Regular
DON00096,2025-10-16,Persona natural,ITM001,Arroz,alimentos,kg,46,629.19,Emergencia
DON00097,2026-04-26,Iglesia/Comunidad,ITM029,Suero oral,medicamentos_soporte,sobre,16,84.08,Emergencia
DON00098,2026-07-01,Empresa,ITM007,Conservas de atún,alimentos,lata,17,143.4,Día del Niño
DON00099,2026-05-21,Persona natural,ITM002,Avena,alimentos,kg,37,661.62,Regular
DON00100,2025-12-27,Persona natural,ITM030,Paracetamol pediátrico,medicamentos_soporte,frasco,27,456.16,Navidad
DON00101,2025-09-18,Persona natural,ITM023,Baja lenguas,insumos_medicos,unidad,36,388.41,Regular
DON00102,2026-05-22,ONG,ITM011,Agua embotellada,alimentos,litro,38,100.71,Aniversario ALDIMI
DON00103,2026-05-14,Persona natural,ITM019,Mascarillas,insumos_medicos,unidad,28,217.88,Navidad
DON00104,2026-07-02,ONG,ITM009,Suplemento nutricional,alimentos,unidad,61,537.23,Aniversario ALDIMI
DON00105,2026-04-24,ONG,ITM022,Termómetros digitales,insumos_medicos,unidad,146,1334.22,Navidad
DON00106,2025-03-13,Iglesia/Comunidad,ITM007,Conservas de atún,alimentos,lata,145,1252.44,Regular
DON00107,2026-06-19,ONG,ITM027,Jeringas descartables,insumos_medicos,unidad,137,2445.83,Regular
DON00108,2025-07-28,ONG,ITM001,Arroz,alimentos,kg,162,1736.77,Navidad
DON00109,2025-01-02,Empresa,ITM006,Fideos,alimentos,kg,154,1343.91,Aniversario ALDIMI
DON00110,2025-05-25,Persona natural,ITM006,Fideos,alimentos,kg,58,259.78,Regular
DON00111,2025-09-02,Persona natural,ITM015,Pañales,higiene,unidad,42,351.45,Regular
DON00112,2025-11-12,Iglesia/Comunidad,ITM006,Fideos,alimentos,kg,27,352.9,Navidad
DON00113,2025-10-11,Iglesia/Comunidad,ITM014,Jabón líquido,higiene,litro,43,584.23,Navidad
DON00114,2026-07-05,Persona natural,ITM013,Papel higiénico,higiene,rollo,40,576.02,Aniversario ALDIMI
DON00115,2025-10-11,Persona natural,ITM013,Papel higiénico,higiene,rollo,67,513.02,Regular
DON00116,2025-12-23,Empresa,ITM025,Vendas,insumos_medicos,unidad,35,351.77,Regular
DON00117,2025-02-03,Persona natural,ITM009,Suplemento nutricional,alimentos,unidad,33,438.53,Regular
DON00118,2026-07-04,Empresa,ITM024,Antiséptico,insumos_medicos,litro,188,2274.37,Navidad
DON00119,2025-02-08,Campaña digital,ITM003,Leche evaporada,alimentos,lata,22,324.18,Regular
DON00120,2025-02-26,Persona natural,ITM002,Avena,alimentos,kg,86,1231.64,Regular
DON00121,2025-04-14,Iglesia/Comunidad,ITM030,Paracetamol pediátrico,medicamentos_soporte,frasco,28,412.1,Emergencia
DON00122,2025-01-21,ONG,ITM020,Guantes descartables,insumos_medicos,par,51,646.82,Regular
DON00123,2026-03-26,Persona natural,ITM002,Avena,alimentos,kg,117,447.33,Día del Niño
DON00124,2026-02-07,Empresa,ITM017,Detergente,higiene,kg,77,490.84,Navidad
DON00125,2025-03-06,Iglesia/Comunidad,ITM004,Menestras,alimentos,kg,103,1799.84,Día del Niño
DON00126,2026-01-03,Empresa,ITM003,Leche evaporada,alimentos,lata,48,455.45,Regular
DON00127,2025-04-22,Persona natural,ITM030,Paracetamol pediátrico,medicamentos_soporte,frasco,18,219.6,Regular
DON00128,2026-01-09,Persona natural,ITM030,Paracetamol pediátrico,medicamentos_soporte,frasco,5,12.74,Aniversario ALDIMI
DON00129,2026-01-16,Persona natural,ITM007,Conservas de atún,alimentos,lata,87,322.13,Regular
DON00130,2025-05-17,Empresa,ITM028,Algodón,insumos_medicos,paquete,94,719.84,Día del Niño
DON00131,2025-10-25,Persona natural,ITM012,Ensure pediátrico,alimentos,unidad,69,694.47,Regular
DON00132,2025-01-06,ONG,ITM014,Jabón líquido,higiene,litro,127,1095.4,Día del Niño
DON00133,2026-07-07,Campaña digital,ITM016,Toallas húmedas,higiene,paquete,24,235.22,Emergencia
DON00134,2025-05-23,Iglesia/Comunidad,ITM022,Termómetros digitales,insumos_medicos,unidad,16,139.67,Aniversario ALDIMI
DON00135,2026-04-06,Empresa,ITM014,Jabón líquido,higiene,litro,52,171.58,Emergencia
DON00136,2025-04-28,Persona natural,ITM007,Conservas de atún,alimentos,lata,19,186.27,Regular
DON00137,2025-09-25,Persona natural,ITM012,Ensure pediátrico,alimentos,unidad,44,619.96,Día del Niño
DON00138,2025-11-13,ONG,ITM009,Suplemento nutricional,alimentos,unidad,5,61.95,Regular
DON00139,2025-07-15,Campaña digital,ITM017,Detergente,higiene,kg,77,192.87,Regular
DON00140,2025-01-24,ONG,ITM027,Jeringas descartables,insumos_medicos,unidad,63,768.37,Emergencia
DON00141,2025-10-25,Iglesia/Comunidad,ITM025,Vendas,insumos_medicos,unidad,13,96.25,Emergencia
DON00142,2026-04-20,Empresa,ITM012,Ensure pediátrico,alimentos,unidad,20,253.72,Regular
DON00143,2025-01-05,Persona natural,ITM025,Vendas,insumos_medicos,unidad,9,31.27,Regular
DON00144,2026-03-06,Persona natural,ITM011,Agua embotellada,alimentos,litro,34,324.2,Regular
DON00145,2026-03-14,Persona natural,ITM020,Guantes descartables,insumos_medicos,par,25,164.19,Día del Niño
DON00146,2025-09-03,Persona natural,ITM013,Papel higiénico,higiene,rollo,16,176.16,Regular
DON00147,2025-07-15,ONG,ITM002,Avena,alimentos,kg,84,687.59,Regular
DON00148,2025-12-20,ONG,ITM016,Toallas húmedas,higiene,paquete,57,99.57,Navidad
DON00149,2025-04-07,Persona natural,ITM002,Avena,alimentos,kg,16,141.17,Día del Niño
DON00150,2026-03-10,Universidad,ITM005,Aceite vegetal,alimentos,litro,67,457.48,Día del Niño
DON00151,2025-07-20,Iglesia/Comunidad,ITM027,Jeringas descartables,insumos_medicos,unidad,51,427.78,Navidad
DON00152,2026-06-15,Campaña digital,ITM001,Arroz,alimentos,kg,9,120.83,Navidad
DON00153,2025-04-03,ONG,ITM013,Papel higiénico,higiene,rollo,73,1245.46,Emergencia
DON00154,2025-05-05,Empresa,ITM016,Toallas húmedas,higiene,paquete,63,931.84,Regular
DON00155,2025-04-17,Persona natural,ITM005,Aceite vegetal,alimentos,litro,48,700.68,Regular
DON00156,2025-07-23,Empresa,ITM016,Toallas húmedas,higiene,paquete,177,2854.2,Regular
DON00157,2025-03-04,ONG,ITM022,Termómetros digitales,insumos_medicos,unidad,50,159.79,Regular
DON00158,2025-09-24,Persona natural,ITM027,Jeringas descartables,insumos_medicos,unidad,35,605.64,Regular
DON00159,2026-03-05,Persona natural,ITM001,Arroz,alimentos,kg,19,150.9,Regular
DON00160,2025-02-28,Persona natural,ITM010,Frutas,alimentos,kg,28,175.94,Regular
DON00161,2025-03-16,Universidad,ITM013,Papel higiénico,higiene,rollo,49,128.52,Regular
DON00162,2026-01-31,Iglesia/Comunidad,ITM026,Clorhexidina,insumos_medicos,frasco,57,197.53,Regular
DON00163,2025-04-25,ONG,ITM007,Conservas de atún,alimentos,lata,61,818.46,Regular
DON00164,2025-04-25,Empresa,ITM003,Leche evaporada,alimentos,lata,113,788.41,Aniversario ALDIMI
DON00165,2025-10-04,Persona natural,ITM021,Gasas estériles,insumos_medicos,paquete,17,193.67,Emergencia
DON00166,2025-06-07,Persona natural,ITM007,Conservas de atún,alimentos,lata,12,214.46,Regular
DON00167,2025-02-04,Empresa,ITM006,Fideos,alimentos,kg,270,732.0,Regular
DON00168,2025-06-21,ONG,ITM017,Detergente,higiene,kg,8,99.23,Navidad
DON00169,2026-02-21,Persona natural,ITM020,Guantes descartables,insumos_medicos,par,19,144.72,Regular
DON00170,2025-07-19,Persona natural,ITM030,Paracetamol pediátrico,medicamentos_soporte,frasco,60,447.31,Regular
DON00171,2026-05-17,Campaña digital,ITM024,Antiséptico,insumos_medicos,litro,51,742.88,Regular
DON00172,2026-05-10,Persona natural,ITM001,Arroz,alimentos,kg,104,180.41,Día del Niño
DON00173,2025-08-15,ONG,ITM015,Pañales,higiene,unidad,48,651.39,Aniversario ALDIMI
DON00174,2025-09-04,Universidad,ITM015,Pañales,higiene,unidad,72,1031.04,Regular
DON00175,2025-10-07,Campaña digital,ITM022,Termómetros digitales,insumos_medicos,unidad,36,210.9,Regular
DON00176,2026-07-11,Empresa,ITM026,Clorhexidina,insumos_medicos,frasco,58,130.31,Regular
DON00177,2025-11-16,Universidad,ITM021,Gasas estériles,insumos_medicos,paquete,32,493.44,Emergencia
DON00178,2025-02-23,ONG,ITM009,Suplemento nutricional,alimentos,unidad,74,1075.82,Aniversario ALDIMI
DON00179,2026-05-27,Persona natural,ITM023,Baja lenguas,insumos_medicos,unidad,39,543.67,Regular
DON00180,2026-06-22,Universidad,ITM019,Mascarillas,insumos_medicos,unidad,19,96.81,Regular
DON00181,2025-12-12,Empresa,ITM020,Guantes descartables,insumos_medicos,par,35,244.28,Regular
DON00182,2025-02-22,Universidad,ITM011,Agua embotellada,alimentos,litro,51,705.71,Emergencia
DON00183,2025-09-30,Persona natural,ITM009,Suplemento nutricional,alimentos,unidad,37,106.59,Navidad
DON00184,2025-03-02,Persona natural,ITM013,Papel higiénico,higiene,rollo,31,513.54,Regular
DON00185,2025-08-27,Persona natural,ITM002,Avena,alimentos,kg,7,78.62,Día del Niño
DON00186,2025-08-21,Persona natural,ITM030,Paracetamol pediátrico,medicamentos_soporte,frasco,21,168.45,Regular
DON00187,2026-02-12,Persona natural,ITM010,Frutas,alimentos,kg,64,100.54,Día del Niño
DON00188,2025-09-27,Persona natural,ITM003,Leche evaporada,alimentos,lata,95,893.05,Regular
DON00189,2025-09-25,Persona natural,ITM009,Suplemento nutricional,alimentos,unidad,61,831.01,Regular
DON00190,2025-07-08,Persona natural,ITM009,Suplemento nutricional,alimentos,unidad,45,555.09,Regular
DON00191,2025-07-03,Empresa,ITM028,Algodón,insumos_medicos,paquete,213,2062.82,Regular
DON00192,2026-05-24,Iglesia/Comunidad,ITM019,Mascarillas,insumos_medicos,unidad,9,107.62,Día del Niño
DON00193,2025-12-28,Iglesia/Comunidad,ITM030,Paracetamol pediátrico,medicamentos_soporte,frasco,96,723.66,Regular
DON00194,2026-03-15,Universidad,ITM019,Mascarillas,insumos_medicos,unidad,31,461.48,Emergencia
DON00195,2025-03-27,Persona natural,ITM013,Papel higiénico,higiene,rollo,98,1592.96,Regular
DON00196,2026-01-06,Campaña digital,ITM025,Vendas,insumos_medicos,unidad,68,948.0,Regular
DON00197,2025-09-16,Iglesia/Comunidad,ITM016,Toallas húmedas,higiene,paquete,27,349.14,Regular
DON00198,2025-08-10,Persona natural,ITM029,Suero oral,medicamentos_soporte,sobre,25,444.13,Regular
DON00199,2025-01-16,Empresa,ITM027,Jeringas descartables,insumos_medicos,unidad,22,143.33,Regular
DON00200,2026-05-02,Iglesia/Comunidad,ITM022,Termómetros digitales,insumos_medicos,unidad,79,439.39,Regular
DON00201,2026-07-05,Persona natural,ITM022,Termómetros digitales,insumos_medicos,unidad,13,116.34,Aniversario ALDIMI
DON00202,2025-10-03,Empresa,ITM006,Fideos,alimentos,kg,396,1793.98,Regular
DON00203,2026-01-09,Empresa,ITM013,Papel higiénico,higiene,rollo,43,283.87,Regular
DON00204,2025-09-14,Campaña digital,ITM015,Pañales,higiene,unidad,86,341.15,Regular
DON00205,2026-01-19,ONG,ITM008,Galletas nutritivas,alimentos,paquete,94,668.25,Regular
DON00206,2026-02-20,Empresa,ITM024,Antiséptico,insumos_medicos,litro,18,59.91,Regular
DON00207,2025-10-28,Empresa,ITM006,Fideos,alimentos,kg,109,1575.85,Regular
DON00208,2026-01-21,Iglesia/Comunidad,ITM008,Galletas nutritivas,alimentos,paquete,130,1343.45,Regular
DON00209,2025-09-20,Iglesia/Comunidad,ITM018,Alcohol en gel,higiene,unidad,53,591.05,Emergencia
DON00210,2026-06-17,Empresa,ITM007,Conservas de atún,alimentos,lata,117,1151.2,Regular
DON00211,2025-12-23,Campaña digital,ITM017,Detergente,higiene,kg,12,121.04,Emergencia
DON00212,2025-05-07,Persona natural,ITM018,Alcohol en gel,higiene,unidad,8,89.95,Navidad
DON00213,2025-02-13,Persona natural,ITM027,Jeringas descartables,insumos_medicos,unidad,24,81.51,Regular
DON00214,2025-05-23,Campaña digital,ITM008,Galletas nutritivas,alimentos,paquete,57,242.67,Regular
DON00215,2026-01-25,Empresa,ITM006,Fideos,alimentos,kg,56,130.69,Regular
DON00216,2025-12-28,Iglesia/Comunidad,ITM014,Jabón líquido,higiene,litro,90,1092.63,Regular
DON00217,2025-01-31,Persona natural,ITM005,Aceite vegetal,alimentos,litro,36,478.21,Día del Niño
DON00218,2025-09-02,Campaña digital,ITM007,Conservas de atún,alimentos,lata,48,468.78,Regular
DON00219,2025-08-09,Iglesia/Comunidad,ITM024,Antiséptico,insumos_medicos,litro,62,987.31,Regular
DON00220,2026-02-20,Iglesia/Comunidad,ITM029,Suero oral,medicamentos_soporte,sobre,56,973.68,Regular
DON00221,2026-04-11,Persona natural,ITM027,Jeringas descartables,insumos_medicos,unidad,19,304.13,Aniversario ALDIMI
DON00222,2025-01-06,Universidad,ITM018,Alcohol en gel,higiene,unidad,81,174.32,Regular
DON00223,2026-02-01,Persona natural,ITM009,Suplemento nutricional,alimentos,unidad,43,671.44,Regular
DON00224,2025-10-15,ONG,ITM030,Paracetamol pediátrico,medicamentos_soporte,frasco,118,1117.32,Regular
DON00225,2025-04-23,Persona natural,ITM018,Alcohol en gel,higiene,unidad,20,160.11,Emergencia
DON00226,2025-08-25,Universidad,ITM007,Conservas de atún,alimentos,lata,20,246.41,Día del Niño
DON00227,2026-03-01,Campaña digital,ITM027,Jeringas descartables,insumos_medicos,unidad,9,75.75,Navidad
DON00228,2025-10-05,Empresa,ITM014,Jabón líquido,higiene,litro,134,1022.74,Regular
DON00229,2025-03-25,Persona natural,ITM023,Baja lenguas,insumos_medicos,unidad,34,337.64,Regular
DON00230,2025-06-07,Universidad,ITM016,Toallas húmedas,higiene,paquete,48,335.97,Regular
DON00231,2025-06-03,ONG,ITM002,Avena,alimentos,kg,97,1535.72,Aniversario ALDIMI
DON00232,2025-07-14,Campaña digital,ITM017,Detergente,higiene,kg,32,118.51,Regular
DON00233,2026-02-02,Iglesia/Comunidad,ITM022,Termómetros digitales,insumos_medicos,unidad,23,99.49,Regular
DON00234,2026-07-08,Persona natural,ITM015,Pañales,higiene,unidad,15,233.34,Regular
DON00235,2025-08-23,Persona natural,ITM027,Jeringas descartables,insumos_medicos,unidad,21,265.36,Regular
DON00236,2025-06-08,Iglesia/Comunidad,ITM017,Detergente,higiene,kg,85,1255.78,Regular
DON00237,2026-04-26,Iglesia/Comunidad,ITM002,Avena,alimentos,kg,49,314.63,Regular
DON00238,2025-05-26,Campaña digital,ITM019,Mascarillas,insumos_medicos,unidad,24,360.61,Regular
DON00239,2025-02-04,Persona natural,ITM019,Mascarillas,insumos_medicos,unidad,12,57.92,Regular
DON00240,2025-06-20,Iglesia/Comunidad,ITM026,Clorhexidina,insumos_medicos,frasco,105,1295.1,Regular
DON00241,2025-05-28,Persona natural,ITM028,Algodón,insumos_medicos,paquete,39,632.52,Regular
DON00242,2026-07-01,Universidad,ITM011,Agua embotellada,alimentos,litro,57,938.5,Regular
DON00243,2026-01-17,Persona natural,ITM008,Galletas nutritivas,alimentos,paquete,61,548.18,Día del Niño
DON00244,2025-12-19,ONG,ITM017,Detergente,higiene,kg,181,503.69,Emergencia
DON00245,2026-06-09,Iglesia/Comunidad,ITM001,Arroz,alimentos,kg,71,464.97,Regular
DON00246,2026-06-27,Persona natural,ITM002,Avena,alimentos,kg,32,503.85,Regular
DON00247,2026-04-03,Iglesia/Comunidad,ITM017,Detergente,higiene,kg,13,80.87,Regular
DON00248,2025-03-17,Iglesia/Comunidad,ITM001,Arroz,alimentos,kg,164,2027.2,Aniversario ALDIMI
DON00249,2026-06-30,Empresa,ITM017,Detergente,higiene,kg,40,611.62,Regular
DON00250,2026-02-15,Iglesia/Comunidad,ITM007,Conservas de atún,alimentos,lata,30,175.05,Regular
DON00251,2025-08-03,Persona natural,ITM007,Conservas de atún,alimentos,lata,18,279.97,Aniversario ALDIMI
DON00252,2025-04-17,Campaña digital,ITM020,Guantes descartables,insumos_medicos,par,54,620.38,Navidad
DON00253,2025-01-22,Iglesia/Comunidad,ITM010,Frutas,alimentos,kg,136,1157.33,Regular
DON00254,2025-07-11,Persona natural,ITM004,Menestras,alimentos,kg,6,64.28,Regular
DON00255,2025-03-08,Iglesia/Comunidad,ITM004,Menestras,alimentos,kg,49,208.7,Navidad
DON00256,2026-06-09,Universidad,ITM023,Baja lenguas,insumos_medicos,unidad,31,374.88,Regular
DON00257,2025-12-25,Empresa,ITM020,Guantes descartables,insumos_medicos,par,70,693.59,Navidad
DON00258,2025-01-23,Persona natural,ITM002,Avena,alimentos,kg,18,223.08,Regular
DON00259,2026-04-16,Persona natural,ITM008,Galletas nutritivas,alimentos,paquete,13,79.14,Regular
DON00260,2025-08-10,Empresa,ITM010,Frutas,alimentos,kg,55,789.95,Emergencia
DON00261,2026-06-10,Persona natural,ITM005,Aceite vegetal,alimentos,litro,31,134.95,Día del Niño
DON00262,2025-08-24,Empresa,ITM001,Arroz,alimentos,kg,214,1625.3,Regular
DON00263,2025-10-18,ONG,ITM018,Alcohol en gel,higiene,unidad,76,703.21,Emergencia
DON00264,2026-03-11,Empresa,ITM022,Termómetros digitales,insumos_medicos,unidad,96,956.59,Regular
DON00265,2025-05-31,Empresa,ITM008,Galletas nutritivas,alimentos,paquete,106,1838.99,Regular
DON00266,2025-04-04,Persona natural,ITM026,Clorhexidina,insumos_medicos,frasco,29,215.29,Regular
DON00267,2025-06-14,Empresa,ITM016,Toallas húmedas,higiene,paquete,41,623.51,Regular
